transaction_id,customer_id,account_id,merchant_id,date_id,amount,transaction_type,payment_mode,status,fee_amount,discount_amount,net_amount
59,5,516,10,566,9606,Credit,Credit Card,Success,25,14,9567
60,198,228,181,775,5008,Credit,UPI,Success,23,86,4899
61,282,651,31,1054,4867,Debit,Credit Card,Failed,9,70,4788
62,473,301,16,1000,4144,Debit,Cash,Success,50,183,3911
63,128,556,253,34,2300,Debit,Credit Card,Success,41,106,2153
64,156,309,95,88,6807,Credit,Net Banking,Success,27,40,6740
65,359,590,66,511,9461,Debit,Debit Card,Failed,13,142,9306
66,37,131,4,53,4464,Debit,Cash,Failed,46,24,4394
67,441,455,125,505,9520,Debit,Debit Card,Success,42,200,9278
68,74,561,285,1086,9581,Debit,Debit Card,Failed,0,12,9569
69,387,416,15,833,2882,Credit,Cash,Success,42,126,2714
70,482,277,55,248,8950,Credit,Debit Card,Failed,3,124,8823
71,480,233,194,381,6052,Credit,Cash,Failed,28,196,5828
72,196,109,214,1060,2413,Debit,Net Banking,Failed,16,107,2290
73,299,632,141,926,7437,Credit,Credit Card,Success,3,194,7240
74,179,488,278,4,3498,Credit,Credit Card,Failed,14,71,3413
75,362,48,178,1015,3182,Debit,UPI,Success,19,38,3125
76,55,179,261,525,8703,Credit,Net Banking,Failed,13,74,8616
77,221,93,65,809,7484,Credit,Debit Card,Success,15,86,7383
78,408,370,34,598,7606,Credit,Cash,Success,5,63,7538
79,483,251,202,803,6816,Credit,Debit Card,Success,40,58,6718
80,397,482,133,894,2355,Credit,Net Banking,Success,4,14,2337
81,203,508,5,230,4052,Credit,Debit Card,Success,18,42,3992
82,228,559,175,633,5580,Credit,UPI,Success,50,174,5356
83,284,640,160,85,9074,Credit,Cash,Failed,6,60,9008
84,302,482,281,421,596,Debit,Net Banking,Failed,16,39,541
85,444,552,290,104,3648,Debit,UPI,Failed,47,13,3588
86,264,447,69,641,2635,Debit,UPI,Failed,32,192,2411
87,284,431,296,481,1394,Credit,Cash,Success,9,94,1291
88,434,594,216,246,3255,Debit,Cash,Success,21,136,3098
89,120,610,178,527,2803,Debit,UPI,Failed,45,136,2622
90,498,259,257,657,1275,Credit,Credit Card,Success,46,176,1053
91,327,311,75,603,10010,Credit,Net Banking,Failed,34,126,9850
92,123,432,51,1040,1355,Credit,Cash,Success,3,87,1265
93,87,34,132,365,11180,Credit,Net Banking,Failed,23,144,11013
94,385,557,102,1090,3932,Credit,Net Banking,Success,2,112,3818
95,333,430,237,963,9610,Debit,Cash,Success,47,198,9365
96,220,446,99,438,3787,Debit,Debit Card,Failed,34,174,3579
97,408,39,240,400,2632,Debit,Net Banking,Success,12,73,2547
98,71,495,244,2,3021,Debit,Cash,Failed,5,148,2868
99,77,677,165,439,8726,Credit,UPI,Success,24,85,8617
100,265,447,278,544,10791,Credit,UPI,Success,29,4,10758
101,457,198,234,286,8335,Credit,UPI,Failed,43,167,8125
102,221,573,261,943,1758,Debit,Debit Card,Success,3,76,1679
103,368,320,151,342,2670,Credit,Credit Card,Success,37,181,2452
104,276,195,124,78,4117,Credit,Debit Card,Failed,15,66,4036
105,471,152,289,599,9787,Debit,Cash,Failed,29,182,9576
106,116,682,144,898,7039,Credit,Credit Card,Success,13,17,7009
107,482,110,133,655,10703,Credit,UPI,Failed,28,135,10540
108,498,608,266,371,4105,Debit,Credit Card,Success,23,58,4024
109,280,81,151,504,6913,Debit,Net Banking,Success,18,62,6833
110,471,379,90,167,3151,Credit,UPI,Failed,36,142,2973
111,236,296,226,326,808,Debit,Cash,Success,7,110,691
112,222,68,12,301,14869,Credit,Cash,Success,11,85,14773
113,319,460,236,637,9594,Credit,Credit Card,Failed,21,29,9544
114,298,647,99,389,550,Credit,Debit Card,Failed,31,48,471
115,329,141,255,787,8577,Credit,Credit Card,Success,26,119,8432
116,172,652,45,799,11947,Debit,Debit Card,Failed,16,61,11870
117,178,612,184,164,7283,Debit,Net Banking,Failed,18,148,7117
118,415,49,299,604,10761,Credit,UPI,Failed,3,70,10688
119,130,402,89,781,3885,Credit,Cash,Failed,26,188,3671
120,351,411,49,903,5986,Debit,Net Banking,Failed,27,102,5857
121,22,93,244,1004,5502,Credit,Credit Card,Failed,15,186,5301
122,42,571,39,810,2911,Credit,Credit Card,Success,0,130,2781
123,436,480,190,1053,9909,Credit,Cash,Success,45,165,9699
124,255,284,64,488,8618,Debit,UPI,Failed,33,46,8539
125,463,205,216,1015,6174,Credit,Cash,Success,1,80,6093
126,50,35,127,61,6185,Debit,Net Banking,Success,12,4,6169
127,119,408,47,282,6316,Debit,Credit Card,Failed,10,75,6231
128,167,224,107,1029,486,Debit,Debit Card,Success,26,41,419
129,58,330,192,374,3703,Credit,UPI,Failed,20,93,3590
130,105,463,129,1063,13955,Credit,Debit Card,Success,4,41,13910
131,269,60,239,569,8923,Credit,UPI,Failed,28,74,8821
132,134,311,94,195,635,Debit,Credit Card,Failed,1,169,465
133,150,462,32,947,6117,Debit,Cash,Success,20,15,6082
134,266,597,219,184,5011,Debit,Cash,Success,14,158,4839
135,441,638,276,621,1510,Credit,Net Banking,Failed,14,121,1375
136,393,401,69,325,1344,Debit,Debit Card,Failed,45,196,1103
137,80,636,65,751,2906,Credit,Net Banking,Success,25,123,2758
138,353,585,168,901,2619,Debit,Debit Card,Failed,1,115,2503
139,100,323,139,862,9730,Debit,Credit Card,Success,10,132,9588
140,398,617,99,983,942,Debit,UPI,Success,24,58,860
141,6,310,265,306,8103,Credit,Net Banking,Failed,7,121,7975
142,172,452,213,552,7344,Debit,Debit Card,Success,25,98,7221
143,484,451,117,662,14912,Credit,Cash,Success,50,113,14749
144,464,314,23,405,1383,Debit,UPI,Success,47,94,1242
145,301,508,88,527,646,Debit,Net Banking,Failed,37,30,579
146,410,698,259,112,1615,Credit,UPI,Failed,1,23,1591
147,178,248,187,254,2349,Debit,Debit Card,Success,49,164,2136
148,443,547,1,740,5488,Debit,Net Banking,Success,46,199,5243
149,301,376,17,977,9560,Debit,Debit Card,Failed,10,130,9420
150,262,269,272,616,2003,Debit,UPI,Success,23,173,1807
151,308,421,256,1061,1013,Credit,Net Banking,Success,35,135,843
152,150,684,40,93,5720,Debit,UPI,Success,11,82,5627
153,379,387,51,305,10752,Credit,Cash,Failed,3,109,10640
154,222,269,227,843,3654,Debit,Net Banking,Success,33,39,3582
155,288,513,84,155,4256,Credit,Cash,Failed,8,68,4180
156,203,422,1,521,9104,Credit,Cash,Failed,43,111,8950
157,104,338,274,744,5112,Debit,Debit Card,Failed,45,96,4971
158,480,659,20,13,2043,Debit,UPI,Success,30,143,1870
159,261,278,207,86,5461,Credit,Net Banking,Failed,42,58,5361
160,11,533,33,285,8292,Credit,Net Banking,Failed,4,197,8091
161,119,162,280,439,4053,Debit,UPI,Success,25,138,3890
162,487,434,284,1010,10539,Credit,Credit Card,Success,9,105,10425
163,115,42,255,2,390,Credit,UPI,Success,2,102,286
164,319,517,48,537,4342,Debit,Debit Card,Failed,41,15,4286
165,316,441,200,866,3463,Debit,Credit Card,Success,19,150,3294
166,373,249,149,693,13335,Debit,Net Banking,Success,16,0,13319
167,333,608,282,1067,9317,Credit,Net Banking,Failed,32,71,9214
168,346,341,220,60,4215,Debit,Net Banking,Failed,45,186,3984
169,210,650,236,979,4291,Credit,Net Banking,Failed,13,87,4191
170,357,612,177,740,9199,Credit,Debit Card,Failed,4,160,9035
171,420,182,11,500,5905,Debit,Net Banking,Success,44,143,5718
172,467,520,240,792,4659,Debit,Credit Card,Success,39,114,4506
173,59,498,252,347,12910,Debit,Credit Card,Failed,4,35,12871
174,294,610,262,753,842,Credit,Net Banking,Success,20,125,697
175,240,322,164,616,1257,Debit,Net Banking,Failed,31,121,1105
176,357,406,109,1010,6942,Credit,Credit Card,Success,9,86,6847
177,493,614,285,707,5293,Debit,Credit Card,Failed,47,85,5161
178,277,126,114,1059,17305,Credit,Net Banking,Success,40,138,17127
179,139,514,128,546,1207,Debit,Cash,Failed,26,27,1154
180,232,27,160,1084,483,Credit,UPI,Failed,11,5,467
181,213,305,244,860,3318,Credit,UPI,Failed,20,192,3106
182,457,375,47,664,3484,Credit,Net Banking,Failed,28,190,3266
183,121,571,53,182,7357,Credit,Net Banking,Success,46,54,7257
184,129,175,117,874,3554,Debit,UPI,Failed,31,179,3344
185,211,454,232,201,6694,Credit,Cash,Success,23,153,6518
186,485,605,95,375,1210,Credit,UPI,Failed,38,172,1000
187,284,399,124,290,4260,Credit,Cash,Failed,42,170,4048
188,442,147,95,941,6049,Credit,Debit Card,Failed,25,190,5834
189,404,446,147,319,4800,Credit,Credit Card,Failed,15,33,4752
190,350,238,165,814,2430,Credit,UPI,Success,34,94,2302
191,389,662,30,914,2354,Credit,UPI,Success,21,0,2333
192,410,289,207,558,3844,Credit,UPI,Failed,17,170,3657
193,325,699,270,1000,5667,Debit,Cash,Success,34,20,5613
194,256,348,185,514,5519,Credit,Credit Card,Success,30,193,5296
195,385,139,236,56,5656,Debit,Net Banking,Failed,18,123,5515
196,26,397,175,48,3622,Debit,Credit Card,Success,31,87,3504
197,69,36,42,1015,5706,Debit,Cash,Failed,14,150,5542
198,368,211,157,190,687,Debit,UPI,Failed,17,89,581
199,474,695,100,637,4693,Debit,UPI,Success,42,31,4620
200,105,57,223,690,12573,Credit,Net Banking,Failed,5,176,12392
201,131,460,16,155,2357,Debit,Net Banking,Failed,16,81,2260
202,284,667,159,208,1769,Credit,Credit Card,Success,50,159,1560
203,169,237,135,267,5268,Debit,UPI,Success,17,120,5131
204,8,324,22,76,5978,Debit,Credit Card,Failed,17,159,5802
205,383,556,147,585,6803,Debit,Credit Card,Failed,19,185,6599
206,469,510,72,456,8483,Credit,Cash,Success,47,171,8265
207,498,561,152,362,11742,Debit,Credit Card,Success,42,183,11517
208,177,141,272,569,9142,Credit,Net Banking,Failed,11,75,9056
209,411,692,155,148,1786,Debit,Debit Card,Failed,42,122,1622
210,236,68,173,180,4864,Debit,UPI,Success,41,198,4625
211,132,74,297,972,4087,Credit,UPI,Failed,18,104,3965
212,122,650,155,843,6600,Debit,Debit Card,Failed,25,187,6388
213,39,19,231,86,1769,Credit,UPI,Failed,26,95,1648
214,160,533,35,626,222,Debit,Credit Card,Failed,36,86,100
215,263,7,64,483,5623,Debit,Debit Card,Success,14,37,5572
216,173,227,299,658,6326,Credit,Credit Card,Failed,34,75,6217
217,409,523,131,700,5365,Debit,Debit Card,Failed,28,183,5154
218,7,8,116,973,5461,Debit,Credit Card,Failed,38,29,5394
219,150,427,24,453,821,Credit,Cash,Failed,38,198,585
220,135,316,235,11,6294,Debit,Credit Card,Failed,13,47,6234
221,51,280,180,927,1258,Debit,Credit Card,Success,25,25,1208
222,118,45,131,98,8309,Debit,Cash,Failed,36,184,8089
223,301,697,37,726,544,Debit,Debit Card,Success,15,174,355
224,141,549,15,795,5938,Credit,Net Banking,Success,36,58,5844
225,366,495,65,159,9668,Credit,Debit Card,Failed,46,175,9447
226,292,342,299,664,13944,Debit,Net Banking,Success,35,51,13858
227,485,27,169,95,2275,Credit,Credit Card,Success,22,30,2223
228,132,136,20,265,5547,Credit,Debit Card,Failed,8,117,5422
229,294,548,152,262,2255,Credit,UPI,Failed,37,47,2171
230,143,376,141,280,8826,Debit,Cash,Failed,45,163,8618
231,102,153,103,517,1490,Credit,UPI,Success,29,37,1424
232,155,124,128,879,5326,Debit,Credit Card,Failed,36,154,5136
233,284,529,219,311,10578,Debit,Credit Card,Failed,11,39,10528
234,204,244,256,631,4097,Credit,Credit Card,Failed,9,54,4034
235,115,350,156,472,3511,Debit,UPI,Success,11,80,3420
236,88,601,99,46,3994,Credit,UPI,Failed,13,25,3956
237,232,173,124,859,564,Credit,Credit Card,Failed,10,108,446
238,209,310,254,721,6309,Debit,Debit Card,Success,7,72,6230
239,6,296,77,1068,3093,Credit,Cash,Failed,27,147,2919
240,307,251,134,474,7744,Credit,Net Banking,Failed,9,133,7602
241,270,693,278,536,8713,Debit,Net Banking,Success,29,6,8678
242,373,664,4,122,8443,Debit,UPI,Failed,21,197,8225
243,330,244,95,210,2418,Debit,Debit Card,Success,29,193,2196
244,324,625,22,745,7647,Debit,UPI,Failed,44,168,7435
245,313,105,150,254,9478,Credit,Credit Card,Failed,16,107,9355
246,134,602,72,264,9145,Debit,Credit Card,Failed,48,165,8932
247,314,514,226,361,11562,Credit,Cash,Failed,45,126,11391
248,464,689,234,1067,11865,Debit,Cash,Failed,48,14,11803
249,436,183,47,298,2143,Credit,UPI,Failed,4,65,2074
250,152,60,7,982,7548,Debit,Net Banking,Failed,3,169,7376
251,474,450,234,662,13843,Debit,Cash,Success,45,186,13612
252,195,424,83,771,8072,Debit,Debit Card,Success,8,48,8016
253,96,477,82,372,4938,Debit,Debit Card,Success,45,7,4886
254,432,397,30,321,6469,Credit,Cash,Failed,21,163,6285
255,318,431,107,354,7705,Credit,Cash,Success,28,50,7627
256,269,430,277,587,4518,Credit,Cash,Failed,27,108,4383
257,213,461,112,48,1651,Debit,Debit Card,Success,24,138,1489
258,139,552,50,554,6703,Debit,Debit Card,Failed,11,14,6678
259,460,150,122,377,3806,Credit,Credit Card,Success,45,120,3641
260,228,84,241,41,2704,Debit,Credit Card,Failed,3,60,2641
261,219,395,28,261,5200,Debit,Net Banking,Success,32,140,5028
262,77,326,99,533,4513,Credit,Credit Card,Success,24,26,4463
263,226,386,149,1050,9412,Debit,UPI,Success,26,17,9369
264,204,670,106,836,583,Debit,Net Banking,Success,50,128,405
265,53,53,196,17,508,Credit,Credit Card,Failed,44,100,364
266,56,488,286,1005,16894,Credit,Debit Card,Failed,21,128,16745
267,36,343,55,186,9202,Debit,Net Banking,Success,4,171,9027
268,432,161,203,184,1974,Credit,Debit Card,Success,0,72,1902
269,234,28,58,842,9892,Debit,UPI,Success,5,19,9868
270,217,47,274,952,7153,Credit,Debit Card,Success,32,3,7118
271,73,543,297,214,7245,Credit,Debit Card,Success,26,134,7085
272,397,385,141,113,5026,Credit,Credit Card,Failed,4,102,4920
273,82,651,206,978,7254,Credit,Credit Card,Success,47,131,7076
274,1,561,110,231,1939,Credit,Cash,Success,18,191,1730
275,138,476,176,735,6155,Credit,UPI,Success,45,48,6062
276,97,51,73,1068,13868,Credit,Cash,Failed,31,182,13655
277,313,625,253,308,10212,Debit,Cash,Success,8,151,10053
278,408,101,28,872,10076,Debit,UPI,Success,8,95,9973
279,463,585,286,294,6813,Debit,Cash,Failed,46,39,6728
280,467,665,172,466,8674,Credit,UPI,Failed,11,104,8559
281,189,116,225,925,7519,Credit,Net Banking,Failed,27,178,7314
282,210,562,44,644,16369,Credit,Cash,Success,46,70,16253
283,164,671,120,616,1456,Credit,Credit Card,Failed,6,12,1438
284,44,471,213,859,10430,Credit,UPI,Success,25,33,10372
285,36,493,227,105,3568,Credit,Net Banking,Success,4,181,3383
286,265,388,204,1084,10099,Debit,Cash,Failed,37,85,9977
287,477,462,262,999,11792,Credit,UPI,Failed,43,172,11577
288,82,278,226,1005,15283,Debit,Cash,Success,1,111,15171
289,35,353,232,688,6167,Debit,Cash,Success,37,80,6050
290,164,81,1,331,9012,Credit,Credit Card,Failed,6,49,8957
291,341,93,246,330,11542,Credit,UPI,Success,40,200,11302
292,202,23,178,277,13147,Credit,Net Banking,Success,2,40,13105
293,97,9,151,213,6103,Credit,Credit Card,Failed,10,147,5946
294,303,154,246,573,8059,Debit,Cash,Success,6,55,7998
295,170,607,88,846,10766,Debit,UPI,Success,24,54,10688
296,208,664,175,966,3474,Debit,Cash,Success,4,99,3371
297,375,255,93,307,12820,Debit,Debit Card,Success,19,178,12623
298,311,385,291,838,4190,Credit,Credit Card,Success,44,191,3955
299,65,618,277,777,8408,Debit,Net Banking,Failed,25,93,8290
300,256,579,139,392,4193,Debit,UPI,Success,1,184,4008
301,293,29,226,7,7535,Credit,Cash,Success,25,151,7359
302,452,545,210,818,5156,Credit,Cash,Success,0,189,4967
303,164,397,230,518,2525,Credit,Net Banking,Failed,45,199,2281
304,20,631,175,549,1753,Debit,Net Banking,Success,20,132,1601
305,388,212,270,546,6063,Debit,Debit Card,Failed,43,195,5825
306,472,245,239,729,3151,Debit,Cash,Success,50,176,2925
307,306,530,48,513,2564,Debit,Cash,Success,31,50,2483
308,274,418,19,583,9002,Debit,Cash,Failed,38,144,8820
309,495,70,188,707,632,Debit,Net Banking,Failed,13,20,599
310,176,652,58,724,12079,Debit,Debit Card,Success,32,12,12035
311,460,33,89,601,982,Credit,Cash,Failed,28,73,881
312,222,336,245,372,8778,Credit,Net Banking,Success,14,46,8718
313,419,684,150,541,2618,Debit,Net Banking,Failed,46,154,2418
314,51,413,15,406,1653,Debit,UPI,Failed,46,139,1468
315,178,112,79,216,5962,Credit,Credit Card,Failed,34,27,5901
316,468,268,112,1088,6140,Credit,UPI,Success,18,189,5933
317,115,637,129,744,8177,Credit,UPI,Success,2,127,8048
318,468,333,160,689,14716,Debit,Cash,Success,17,50,14649
319,134,125,131,279,5310,Debit,Net Banking,Success,19,184,5107
320,357,430,110,605,10028,Credit,UPI,Failed,31,173,9824
321,364,694,184,757,2100,Debit,Cash,Success,36,62,2002
322,170,148,113,1008,16140,Credit,UPI,Success,7,117,16016
323,395,671,12,826,3739,Debit,UPI,Failed,19,63,3657
324,358,291,217,489,10815,Credit,Cash,Failed,45,57,10713
325,307,309,75,920,9776,Credit,UPI,Success,2,23,9751
326,328,259,214,970,10382,Debit,Debit Card,Success,34,62,10286
327,232,423,162,339,5049,Debit,Credit Card,Failed,8,4,5037
328,323,175,52,407,3390,Debit,Credit Card,Success,22,55,3313
329,345,85,108,241,7636,Debit,Credit Card,Failed,48,174,7414
330,387,67,288,818,999,Credit,UPI,Failed,49,61,889
331,57,328,175,367,1911,Credit,Cash,Failed,45,74,1792
332,191,473,143,1007,6109,Debit,UPI,Success,41,60,6008
333,432,617,149,168,4456,Debit,Cash,Success,13,122,4321
334,290,566,189,660,9456,Debit,UPI,Failed,50,141,9265
335,251,30,32,161,3843,Credit,Debit Card,Success,31,134,3678
336,205,456,248,1013,7243,Credit,Net Banking,Success,41,112,7090
337,160,653,171,686,3133,Debit,Credit Card,Failed,50,124,2959
338,52,314,229,675,1225,Credit,Cash,Failed,14,101,1110
339,26,69,6,1063,10314,Credit,Net Banking,Success,10,155,10149
340,253,311,6,620,8516,Credit,Debit Card,Failed,50,20,8446
341,64,515,225,749,1109,Debit,UPI,Failed,5,161,943
342,317,533,137,250,4700,Debit,Cash,Failed,28,80,4592
343,93,446,76,279,10615,Credit,Cash,Success,40,90,10485
344,332,657,113,688,6892,Credit,Cash,Failed,39,51,6802
345,345,163,177,115,4012,Debit,UPI,Success,24,149,3839
346,434,524,138,51,844,Credit,UPI,Success,46,106,692
347,230,506,117,858,456,Debit,Cash,Success,44,168,244
348,42,288,176,710,8219,Credit,UPI,Failed,36,81,8102
349,329,90,282,188,2733,Credit,Net Banking,Success,45,94,2594
350,62,190,100,812,1582,Credit,Net Banking,Failed,15,81,1486
351,352,364,116,238,5334,Credit,Debit Card,Failed,9,21,5304
352,381,4,100,712,6653,Debit,Credit Card,Success,42,149,6462
353,384,275,273,404,5996,Credit,UPI,Success,28,167,5801
354,213,610,57,1030,12394,Debit,Cash,Success,22,141,12231
355,457,482,75,459,5481,Credit,UPI,Success,43,106,5332
356,119,464,289,159,4814,Credit,Cash,Success,25,23,4766
357,416,121,94,641,15217,Debit,Net Banking,Success,36,86,15095
358,341,596,103,769,6286,Credit,Debit Card,Failed,45,146,6095
359,265,70,170,781,8880,Debit,Credit Card,Failed,45,149,8686
360,419,225,30,189,7635,Credit,Credit Card,Success,28,140,7467
361,217,255,209,645,2062,Credit,UPI,Success,15,178,1869
362,326,608,151,509,9304,Debit,Net Banking,Failed,7,164,9133
363,421,676,148,54,5538,Debit,Net Banking,Failed,33,54,5451
364,143,395,40,202,3029,Debit,UPI,Success,0,189,2840
365,173,118,246,752,8183,Credit,Credit Card,Failed,8,69,8106
366,268,433,177,736,5092,Credit,Cash,Success,31,151,4910
367,476,54,268,1070,6622,Debit,UPI,Failed,50,136,6436
368,148,647,61,966,8023,Credit,Cash,Success,30,23,7970
369,207,627,174,768,3708,Debit,Credit Card,Success,49,107,3552
370,277,32,232,610,3847,Credit,UPI,Failed,38,54,3755
371,299,83,295,220,4110,Credit,Cash,Success,16,159,3935
372,17,88,85,733,5263,Debit,UPI,Success,7,68,5188
373,407,576,124,770,4911,Credit,Cash,Failed,44,80,4787
374,416,152,186,679,7053,Debit,UPI,Success,2,96,6955
375,185,530,253,951,2919,Debit,UPI,Success,10,144,2765
376,426,396,249,870,10575,Credit,Credit Card,Failed,0,94,10481
377,80,432,67,512,5402,Debit,UPI,Failed,19,200,5183
378,202,316,108,325,5134,Credit,Credit Card,Success,22,172,4940
379,396,177,298,40,2356,Debit,Cash,Failed,12,34,2310
380,384,447,280,634,3587,Debit,Credit Card,Success,17,82,3488
381,416,362,103,941,5623,Credit,UPI,Failed,30,2,5591
382,269,551,284,458,8443,Credit,Cash,Failed,12,69,8362
383,258,553,168,712,3278,Debit,Net Banking,Failed,31,15,3232
384,90,577,166,312,894,Debit,Debit Card,Failed,43,160,691
385,406,452,211,101,5681,Credit,Cash,Failed,4,130,5547
386,460,349,277,679,15326,Credit,Cash,Failed,37,120,15169
387,441,563,210,276,3624,Debit,Cash,Failed,47,102,3475
388,316,608,190,1079,7410,Debit,Debit Card,Failed,34,6,7370
389,428,504,202,1012,9925,Credit,Net Banking,Failed,30,51,9844
390,308,365,229,1001,11209,Credit,Net Banking,Failed,28,38,11143
391,468,289,135,282,6412,Credit,UPI,Success,37,196,6179
392,221,329,46,877,163,Debit,Debit Card,Success,15,197,-49
393,209,671,124,325,9885,Debit,Cash,Failed,6,37,9842
394,282,58,248,466,1299,Credit,Cash,Success,4,73,1222
395,486,632,35,185,2311,Credit,Cash,Success,6,110,2195
396,367,135,140,987,6180,Credit,Net Banking,Failed,23,60,6097
397,415,250,268,49,6856,Debit,Credit Card,Success,11,169,6676
398,461,240,105,131,3148,Debit,Debit Card,Success,12,165,2971
399,489,55,182,928,10080,Credit,Debit Card,Failed,25,178,9877
400,99,433,51,1067,7296,Debit,Cash,Failed,12,33,7251
401,439,414,132,25,1683,Credit,Debit Card,Failed,43,177,1463
402,482,145,10,171,4938,Credit,UPI,Failed,5,20,4913
403,428,171,235,484,8862,Debit,UPI,Failed,50,197,8615
404,407,514,196,684,2021,Debit,Debit Card,Failed,16,118,1887
405,227,295,186,787,7255,Debit,Credit Card,Failed,11,164,7080
406,257,629,64,288,14953,Debit,Cash,Failed,0,149,14804
407,324,96,209,857,142,Credit,Debit Card,Failed,13,57,72
408,186,125,52,353,9850,Debit,Debit Card,Success,31,65,9754
409,251,513,194,140,9317,Debit,UPI,Success,50,5,9262
410,25,175,276,1036,8449,Debit,Debit Card,Failed,13,23,8413
411,430,589,30,617,924,Credit,Cash,Failed,13,117,794
412,292,446,281,849,8713,Debit,Debit Card,Failed,30,178,8505
413,406,384,259,408,3294,Debit,Debit Card,Success,41,123,3130
414,360,331,106,49,7161,Credit,UPI,Failed,40,99,7022
415,83,496,187,931,10099,Debit,Cash,Success,7,8,10084
416,157,81,36,937,637,Credit,Debit Card,Failed,4,175,458
417,108,409,183,624,6685,Credit,Cash,Success,18,159,6508
418,373,133,194,519,211,Debit,Cash,Failed,37,184,-10
419,78,539,143,298,4564,Debit,Cash,Success,46,83,4435
420,492,423,4,1074,7848,Credit,Debit Card,Failed,0,54,7794
421,15,578,124,183,311,Debit,Net Banking,Failed,40,147,124
422,339,542,168,792,6534,Credit,Debit Card,Success,42,67,6425
423,87,414,296,864,11310,Credit,UPI,Failed,38,15,11257
424,346,183,150,821,9206,Debit,Credit Card,Success,44,49,9113
425,286,479,55,1005,13746,Debit,Net Banking,Failed,6,5,13735
426,343,266,289,158,5085,Credit,Cash,Failed,46,29,5010
